driverStandingsId,raceId,driverId,points,position,positionText,wins,fileName
13765,43,13,47.0,3,3,2,driver_standings.csv
13763,43,2,30.0,5,5,0,driver_standings.csv
13761,43,4,50.0,2,2,2,driver_standings.csv
13805,44,20,1.0,17,17,0,driver_standings.csv
13804,44,14,4.0,12,12,0,driver_standings.csv
13803,44,27,0.0,22,22,0,driver_standings.csv
13802,44,9,22.0,6,6,0,driver_standings.csv
13801,44,26,0.0,19,19,0,driver_standings.csv
13800,44,25,8.0,9,9,0,driver_standings.csv
13799,44,16,0.0,21,21,0,driver_standings.csv
13798,44,19,0.0,20,20,0,driver_standings.csv
13797,44,18,1.0,16,16,0,driver_standings.csv
13796,44,24,0.0,23,23,0,driver_standings.csv
13795,44,17,2.0,14,14,0,driver_standings.csv
13794,44,11,4.0,13,13,0,driver_standings.csv
13792,44,5,14.0,8,8,0,driver_standings.csv
13790,44,23,2.0,15,15,0,driver_standings.csv
13789,44,3,5.0,11,11,0,driver_standings.csv
13787,44,21,17.0,7,7,0,driver_standings.csv
13784,44,4,58.0,2,2,2,driver_standings.csv
13828,45,20,1.0,17,17,0,driver_standings.csv
13827,45,14,8.0,11,11,0,driver_standings.csv
13826,45,27,0.0,22,22,0,driver_standings.csv
13825,45,9,24.0,6,6,0,driver_standings.csv
13824,45,26,0.0,19,19,0,driver_standings.csv
13823,45,25,13.0,9,9,0,driver_standings.csv
13822,45,16,0.0,21,21,0,driver_standings.csv
13821,45,19,0.0,20,20,0,driver_standings.csv
13820,45,18,1.0,16,16,0,driver_standings.csv
13819,45,24,0.0,23,23,0,driver_standings.csv
13818,45,17,8.0,10,10,0,driver_standings.csv
13817,45,11,4.0,14,14,0,driver_standings.csv
13816,45,22,0.0,18,18,0,driver_standings.csv
13815,45,5,15.0,8,8,0,driver_standings.csv
13814,45,15,7.0,12,12,0,driver_standings.csv
13813,45,23,2.0,15,15,0,driver_standings.csv
